"","type_2","type_1","by","n","score_egg","score_egg_1000"
"1","pulmonic","ejective","('velar','initial','question','s08','e')",42,0.690476190476,0.690476190476
"2","ejective","pulmonic","('labial','initial','question','s09','a')",690,0.442028985507,0.440579710145
"3","pulmonic","ejective","('labial','initial','question','s09','a')",3036,0.537549407115,0.537878787879
"4","ejective","pulmonic","('coronal','initial','answer','s09','e')",14,0.785714285714,0.785714285714
"5","pulmonic","ejective","('coronal','initial','answer','s09','e')",84,0.369047619048,0.369047619048
"6","ejective","pulmonic","('coronal','initial','answer','s08','e')",12,0.25,0.25
"7","pulmonic","ejective","('coronal','initial','answer','s08','e')",60,0.4,0.4
"8","ejective","pulmonic","('coronal','initial','question','s09','o')",4,1,1
"9","pulmonic","ejective","('coronal','initial','question','s09','o')",4,1,1
"10","ejective","pulmonic","('labial','initial','answer','s08','a')",2508,0.478468899522,0.478070175439
"11","pulmonic","ejective","('labial','initial','answer','s08','a')",4104,0.47149122807,0.47149122807
"12","ejective","pulmonic","('coronal','initial','question','s08','o')",2,1,1
"13","ejective","pulmonic","('labial','initial','question','s08','a')",2420,0.47520661157,0.47520661157
"14","pulmonic","ejective","('labial','initial','question','s08','a')",5082,0.585989767808,0.58658008658
"15","ejective","pulmonic","('velar','initial','answer','s08','e')",14,0.571428571429,0.571428571429
"16","pulmonic","ejective","('velar','initial','answer','s08','e')",84,0.630952380952,0.630952380952
"17","ejective","pulmonic","('velar','initial','answer','s09','e')",14,0.428571428571,0.428571428571
"18","pulmonic","ejective","('velar','initial','answer','s09','e')",84,0.654761904762,0.654761904762
"19","ejective","pulmonic","('coronal','initial','question','s08','e')",16,0,0
"20","pulmonic","ejective","('coronal','initial','question','s08','e')",112,0.446428571429,0.446428571429
"21","ejective","pulmonic","('coronal','initial','question','s09','e')",16,0.3125,0.3125
"22","pulmonic","ejective","('coronal','initial','question','s09','e')",112,0.491071428571,0.491071428571
"23","pulmonic","ejective","('velar','initial','question','s08','a')",342,0.479532163743,0.479532163743
"24","ejective","pulmonic","('labial','initial','answer','s09','a')",1120,0.529464285714,0.529464285714
"25","pulmonic","ejective","('labial','initial','answer','s09','a')",3040,0.471710526316,0.470723684211
"26","ejective","pulmonic","('coronal','initial','answer','s08','o')",4,0.75,0.75
"27","pulmonic","ejective","('coronal','initial','answer','s08','o')",4,0.75,0.75
"28","ejective","pulmonic","('velar','initial','question','s09','e')",16,0.625,0.625
"29","pulmonic","ejective","('velar','initial','question','s09','e')",112,0.508928571429,0.517857142857
