"","type_2","type_1","by","n","score_standard","score_smaller"
"1","ejective","pulmonic","('coronal','e','initial','s08','question')",16,1,1
"2","pulmonic","ejective","('coronal','e','initial','s08','question')",112,1,1
"3","ejective","pulmonic","('labial','a','initial','s08','question')",2420,0.994214876033,0.98347107438
"4","pulmonic","ejective","('labial','a','initial','s08','question')",5082,0.846123573396,0.870720188902
"5","ejective","pulmonic","('velar','e','initial','s09','answer')",14,1,1
"6","pulmonic","ejective","('velar','e','initial','s09','answer')",84,0.821428571429,0.761904761905
"7","ejective","pulmonic","('coronal','o','initial','s09','question')",4,1,1
"8","pulmonic","ejective","('coronal','o','initial','s09','question')",4,1,1
"9","pulmonic","ejective","('velar','a','initial','s08','question')",342,0.865497076023,0.728070175439
"10","ejective","pulmonic","('labial','a','initial','s08','answer')",2508,0.973684210526,0.999202551834
"11","pulmonic","ejective","('labial','a','initial','s08','answer')",4104,0.841861598441,0.853070175439
"12","ejective","pulmonic","('coronal','o','initial','s08','question')",2,0.5,1
"13","ejective","pulmonic","('labial','a','initial','s09','answer')",1120,0.940178571429,0.935714285714
"14","pulmonic","ejective","('labial','a','initial','s09','answer')",3040,0.785197368421,0.639473684211
"15","ejective","pulmonic","('velar','e','initial','s08','answer')",14,1,1
"16","pulmonic","ejective","('velar','e','initial','s08','answer')",84,0.630952380952,0.809523809524
"17","ejective","pulmonic","('labial','a','initial','s09','question')",690,0.94347826087,0.950724637681
"18","pulmonic","ejective","('labial','a','initial','s09','question')",3036,0.884387351779,0.745059288538
"19","ejective","pulmonic","('velar','e','initial','s09','question')",16,1,1
"20","pulmonic","ejective","('velar','e','initial','s09','question')",112,0.723214285714,0.785714285714
"21","ejective","pulmonic","('coronal','e','initial','s08','answer')",14,1,1
"22","pulmonic","ejective","('coronal','e','initial','s08','answer')",84,1,0.988095238095
"23","pulmonic","ejective","('velar','e','initial','s08','question')",42,0.809523809524,0.666666666667
"24","ejective","pulmonic","('coronal','o','initial','s08','answer')",4,1,1
"25","pulmonic","ejective","('coronal','o','initial','s08','answer')",4,1,0.5
"26","ejective","pulmonic","('coronal','e','initial','s09','question')",16,1,0.9375
"27","pulmonic","ejective","('coronal','e','initial','s09','question')",112,0.866071428571,0.767857142857
"28","ejective","pulmonic","('coronal','e','initial','s09','answer')",14,1,1
"29","pulmonic","ejective","('coronal','e','initial','s09','answer')",84,0.880952380952,0.75
