type_2	type_1	by	score	n
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.428571428571	42
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.414492753623	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.537549407115	3036
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	0.571428571429	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.428571428571	84
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	0.25	12
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.716666666667	60
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	0.0	4
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.522328548644	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.443226120858	4104
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	1.0	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.484297520661	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.576151121606	5082
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	0.571428571429	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.440476190476	84
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	0.571428571429	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.738095238095	84
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	0.125	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	0.669642857143	112
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	0.5625	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.535714285714	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.701754385965	342
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.623214285714	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.366776315789	3040
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	0.5	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	0.75	4
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	0.1875	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.723214285714	112
